Sample_Date,Short_Code,Block,Plot,Treatment,Crop,pH,Bray-P_ppm,K_ppm,NO3_ppm,NH4_ppm,Total_C_wt_%,Total_N_wt_%,OM,Bio-N
23May2023,1A,1,A,straw,strawberries,6.7,318,NA,72.3,24,3.19,0.31,,
23May2023,1B,1,B,bare,collards,6.94,320,NA,32.4,1.8,3.47,0.32,,
23May2023,1C,1,C,cardboard,beans,7.1,319,NA,35.5,2.5,3.51,0.32,,
23May2023,1D,1,D,cardboard,strawberries,6.84,315,NA,41.9,1.8,3.51,0.32,,
23May2023,1E,1,E,cardboard,collards,6.99,312,NA,32.2,0.4,3.72,0.34,,
23May2023,1F,1,F,straw,beans,7.05,287,NA,36.9,1.8,3.67,0.33,,
23May2023,1G,1,G,bare,strawberries,6.91,302,NA,39.6,6.3,3.69,0.33,,
23May2023,1H,1,H,straw,collards,6.91,295,NA,41.3,3.7,3.67,0.33,,
23May2023,1I,1,I,bare,beans,6.93,314,NA,28,3.3,3.58,0.33,,
23May2023,2A,2,A,cardboard,collards,7.04,304,NA,29.4,5.1,3.39,0.32,,
23May2023,2B,2,B,straw,beans,6.96,310,NA,15.5,1.4,3.3,0.3,,
23May2023,2C,2,C,cardboard,strawberries,7.05,297,NA,26.6,5,3.48,0.32,,
23May2023,2D,2,D,bare,collards,7.03,312,NA,42,2,3.67,0.33,,
23May2023,2E,2,E,bare,beans,6.97,288,NA,35.7,2.6,3.61,0.34,,
23May2023,2F,2,F,bare,strawberries,6.98,304,NA,30.9,3.1,3.64,0.33,,
23May2023,2G,2,G,straw,collards,6.94,302,NA,40.8,3.5,3.71,0.33,,
23May2023,2H,2,H,cardboard,beans,7.03,300,NA,36.8,4.7,3.73,0.34,,
23May2023,2I,2,I,straw,strawberries,6.98,303,NA,32.9,1.7,3.67,0.34,,
23May2023,3A,3,A,bare,beans,7.04,292,NA,28.3,1,3.55,0.33,,
23May2023,3B,3,B,cardboard,collards,7,313,NA,27.3,3.4,3.57,0.33,,
23May2023,3C,3,C,straw,strawberries,7,305,NA,28,1,3.69,0.33,,
23May2023,3D,3,D,straw,beans,6.89,307,NA,33.5,3.3,3.8,0.35,,
23May2023,3E,3,E,bare,collards,6.87,308,NA,25.2,3,3.81,0.35,,
23May2023,3F,3,F,bare,strawberries,6.92,301,NA,34.5,5.1,3.87,0.35,,
23May2023,3G,3,G,cardboard,beans,7.01,313,NA,44.2,1.6,3.93,0.36,,
23May2023,3H,3,H,straw,collards,6.9,304,NA,41.1,1.9,3.91,0.35,,
23May2023,3I,3,I,cardboard,strawberries,6.99,306,NA,46.9,4.9,4.03,0.37,,
23May2023,4A,4,A,straw,collards,6.91,299,NA,36.3,5.5,3.65,0.34,,
23May2023,4B,4,B,cardboard,beans,6.87,298,NA,34.9,0.3,3.63,0.35,,
23May2023,4C,4,C,bare,strawberries,6.9,300,NA,43.3,1.6,3.63,0.33,,
23May2023,4D,4,D,bare,collards,6.99,305,NA,33.6,1.1,4.01,0.36,,
23May2023,4E,4,E,bare,beans,6.91,308,NA,50.4,1.5,3.76,0.34,,
23May2023,4F,4,F,straw,strawberries,6.89,310,NA,45.7,0.3,3.89,0.36,,
23May2023,4G,4,G,cardboard,collards,6.9,310,NA,54.1,0.3,4.05,0.36,,
23May2023,4H,4,H,straw,beans,6.8,315,NA,57,6.3,4.04,0.37,,
23May2023,4I,4,I,cardboard,strawberries,6.84,306,NA,50.9,2.4,3.85,0.36,,
23May2023,5A,5,A,cardboard,strawberries,6.76,311,NA,51,0.6,3.63,0.33,,
23May2023,5B,5,B,cardboard,strawberries,7.02,317,NA,31.2,1.3,3.66,0.34,,
23May2023,5C,5,C,straw,strawberries,7.03,318,NA,31.6,2.9,3.62,0.32,,
23May2023,5D,5,D,straw,strawberries,7,294,NA,25.3,1.7,3.65,0.34,,
23May2023,5E,5,E,bare,strawberries,7,295,NA,29.5,2,3.68,0.33,,
23May2023,5F,5,F,cardboard,strawberries,7.01,305,NA,34.9,1.5,3.7,0.35,,
23May2023,5G,5,G,bare,strawberries,6.91,306,NA,27.7,1.9,3.94,0.35,,
23May2023,5H,5,H,straw,strawberries,6.95,306,NA,26.8,1.6,4.06,0.36,,
23May2023,5I,5,I,bare,strawberries,7.02,308,NA,27.7,0.6,3.95,0.36,,
05Jul2023,1A,1,A,straw,strawberries,NA,NA,NA,12.3,3.2,NA,NA,NA,
05Jul2023,1B,1,B,bare,collards,NA,NA,NA,15.8,4.8,NA,NA,NA,
05Jul2023,1C,1,C,cardboard,beans,NA,NA,NA,6.9,3,NA,NA,NA,
05Jul2023,1D,1,D,cardboard,strawberries,NA,NA,NA,16.5,4.4,NA,NA,NA,
05Jul2023,1E,1,E,cardboard,collards,NA,NA,NA,8.3,4,NA,NA,NA,
05Jul2023,1F,1,F,straw,beans,NA,NA,NA,9,3.2,NA,NA,NA,
05Jul2023,1G,1,G,bare,strawberries,NA,NA,NA,35.5,2.3,NA,NA,NA,
05Jul2023,1H,1,H,straw,collards,NA,NA,NA,14.9,2.7,NA,NA,NA,
05Jul2023,1I,1,I,bare,beans,NA,NA,NA,11.8,5.3,NA,NA,NA,
05Jul2023,2A,2,A,cardboard,collards,NA,NA,NA,7.4,5.4,NA,NA,NA,
05Jul2023,2B,2,B,straw,beans,NA,NA,NA,13.4,4.6,NA,NA,NA,
05Jul2023,2C,2,C,cardboard,strawberries,NA,NA,NA,16.6,2.9,NA,NA,NA,
05Jul2023,2D,2,D,bare,collards,NA,NA,NA,8.2,2.4,NA,NA,NA,
05Jul2023,2E,2,E,bare,beans,NA,NA,NA,7.6,5.7,NA,NA,NA,
05Jul2023,2F,2,F,bare,strawberries,NA,NA,NA,10.7,5,NA,NA,NA,
05Jul2023,2G,2,G,straw,collards,NA,NA,NA,15,4.3,NA,NA,NA,
05Jul2023,2H,2,H,cardboard,beans,NA,NA,NA,7.4,4.2,NA,NA,NA,
05Jul2023,2I,2,I,straw,strawberries,NA,NA,NA,11.3,5.2,NA,NA,NA,
05Jul2023,3A,3,A,bare,beans,NA,NA,NA,13.7,3.4,NA,NA,NA,
05Jul2023,3B,3,B,cardboard,collards,NA,NA,NA,5.4,3.6,NA,NA,NA,
05Jul2023,3C,3,C,straw,strawberries,NA,NA,NA,8.3,6,NA,NA,NA,
05Jul2023,3D,3,D,straw,beans,NA,NA,NA,14.5,6.4,NA,NA,NA,
05Jul2023,3E,3,E,bare,collards,NA,NA,NA,11.4,2.4,NA,NA,NA,
05Jul2023,3F,3,F,bare,strawberries,NA,NA,NA,10.7,7.3,NA,NA,NA,
05Jul2023,3G,3,G,cardboard,beans,NA,NA,NA,7.6,6.9,NA,NA,NA,
05Jul2023,3H,3,H,straw,collards,NA,NA,NA,12,6.1,NA,NA,NA,
05Jul2023,3I,3,I,cardboard,strawberries,NA,NA,NA,9.5,4.3,NA,NA,NA,
05Jul2023,4A,4,A,straw,collards,NA,NA,NA,12.7,4.4,NA,NA,NA,
05Jul2023,4B,4,B,cardboard,beans,NA,NA,NA,11,4.8,NA,NA,NA,
05Jul2023,4C,4,C,bare,strawberries,NA,NA,NA,17,7.4,NA,NA,NA,
05Jul2023,4D,4,D,bare,collards,NA,NA,NA,10.4,5.9,NA,NA,NA,
05Jul2023,4E,4,E,bare,beans,NA,NA,NA,8.7,4.1,NA,NA,NA,
05Jul2023,4F,4,F,straw,strawberries,NA,NA,NA,14.3,4.6,NA,NA,NA,
05Jul2023,4G,4,G,cardboard,collards,NA,NA,NA,8.2,4.7,NA,NA,NA,
05Jul2023,4H,4,H,straw,beans,NA,NA,NA,11,4.9,NA,NA,NA,
05Jul2023,4I,4,I,cardboard,strawberries,NA,NA,NA,15.2,5,NA,NA,NA,
05Jul2023,5A,5,A,cardboard,strawberries,NA,NA,NA,11.5,6.4,NA,NA,NA,
05Jul2023,5B,5,B,cardboard,strawberries,NA,NA,NA,7.8,4.2,NA,NA,NA,
05Jul2023,5C,5,C,straw,strawberries,NA,NA,NA,7.1,5,NA,NA,NA,
05Jul2023,5D,5,D,straw,strawberries,NA,NA,NA,9.4,7.7,NA,NA,NA,
05Jul2023,5E,5,E,bare,strawberries,NA,NA,NA,15.3,6.9,NA,NA,NA,
05Jul2023,5F,5,F,cardboard,strawberries,NA,NA,NA,12.3,4.5,NA,NA,NA,
05Jul2023,5G,5,G,bare,strawberries,NA,NA,NA,12,8.4,NA,NA,NA,
05Jul2023,5H,5,H,straw,strawberries,NA,NA,NA,8.9,6.1,NA,NA,NA,
05Jul2023,5I,5,I,bare,strawberries,NA,NA,NA,11,4.9,NA,NA,NA,
19Jul2023,1A,1,A,straw,strawberries,NA,NA,NA,8.2,10.4,NA,NA,NA,
19Jul2023,1B,1,B,bare,collards,NA,NA,NA,10.8,6.3,NA,NA,NA,
19Jul2023,1C,1,C,cardboard,beans,NA,NA,NA,5.6,4.5,NA,NA,NA,
19Jul2023,1D,1,D,cardboard,strawberries,NA,NA,NA,7.4,5.5,NA,NA,NA,
19Jul2023,1E,1,E,cardboard,collards,NA,NA,NA,7.9,8.7,NA,NA,NA,
19Jul2023,1F,1,F,straw,beans,NA,NA,NA,5.5,5.7,NA,NA,NA,
19Jul2023,1G,1,G,bare,strawberries,NA,NA,NA,11.9,5.1,NA,NA,NA,
19Jul2023,1H,1,H,straw,collards,NA,NA,NA,7.8,8.9,NA,NA,NA,
19Jul2023,1I,1,I,bare,beans,NA,NA,NA,6.1,7.2,NA,NA,NA,
19Jul2023,2A,2,A,cardboard,collards,NA,NA,NA,7.2,5.7,NA,NA,NA,
19Jul2023,2B,2,B,straw,beans,NA,NA,NA,6.2,7.5,NA,NA,NA,
19Jul2023,2C,2,C,cardboard,strawberries,NA,NA,NA,8.3,12.8,NA,NA,NA,
19Jul2023,2D,2,D,bare,collards,NA,NA,NA,6.7,7.2,NA,NA,NA,
19Jul2023,2E,2,E,bare,beans,NA,NA,NA,7.1,4.8,NA,NA,NA,
19Jul2023,2F,2,F,bare,strawberries,NA,NA,NA,11.6,7.1,NA,NA,NA,
19Jul2023,2G,2,G,straw,collards,NA,NA,NA,7.2,5.1,NA,NA,NA,
19Jul2023,2H,2,H,cardboard,beans,NA,NA,NA,4.8,6,NA,NA,NA,
19Jul2023,2I,2,I,straw,strawberries,NA,NA,NA,8.6,5.4,NA,NA,NA,
19Jul2023,3A,3,A,bare,beans,NA,NA,NA,8.7,6,NA,NA,NA,
19Jul2023,3B,3,B,cardboard,collards,NA,NA,NA,7.3,7,NA,NA,NA,
19Jul2023,3C,3,C,straw,strawberries,NA,NA,NA,7.4,4.3,NA,NA,NA,
19Jul2023,3D,3,D,straw,beans,NA,NA,NA,6.2,5.8,NA,NA,NA,
19Jul2023,3E,3,E,bare,collards,NA,NA,NA,8.4,4,NA,NA,NA,
19Jul2023,3F,3,F,bare,strawberries,NA,NA,NA,10.5,6.7,NA,NA,NA,
19Jul2023,3G,3,G,cardboard,beans,NA,NA,NA,6.7,7,NA,NA,NA,
19Jul2023,3H,3,H,straw,collards,NA,NA,NA,8.5,6,NA,NA,NA,
19Jul2023,3I,3,I,cardboard,strawberries,NA,NA,NA,7.5,5.2,NA,NA,NA,
19Jul2023,4A,4,A,straw,collards,NA,NA,NA,9.9,6.5,NA,NA,NA,
19Jul2023,4B,4,B,cardboard,beans,NA,NA,NA,5.6,4.9,NA,NA,NA,
19Jul2023,4C,4,C,bare,strawberries,NA,NA,NA,20.4,6,NA,NA,NA,
19Jul2023,4D,4,D,bare,collards,NA,NA,NA,11.5,4.6,NA,NA,NA,
19Jul2023,4E,4,E,bare,beans,NA,NA,NA,9.8,5.5,NA,NA,NA,
19Jul2023,4F,4,F,straw,strawberries,NA,NA,NA,13.8,7.9,NA,NA,NA,
19Jul2023,4G,4,G,cardboard,collards,NA,NA,NA,8.6,6.3,NA,NA,NA,
19Jul2023,4H,4,H,straw,beans,NA,NA,NA,7.1,6.7,NA,NA,NA,
19Jul2023,4I,4,I,cardboard,strawberries,NA,NA,NA,15.9,8.1,NA,NA,NA,
19Jul2023,5A,5,A,cardboard,strawberries,NA,NA,NA,7.7,7.1,NA,NA,NA,
19Jul2023,5B,5,B,cardboard,strawberries,NA,NA,NA,6.5,6.9,NA,NA,NA,
19Jul2023,5C,5,C,straw,strawberries,NA,NA,NA,10.7,5.2,NA,NA,NA,
19Jul2023,5D,5,D,straw,strawberries,NA,NA,NA,10.3,5,NA,NA,NA,
19Jul2023,5E,5,E,bare,strawberries,NA,NA,NA,11.7,6,NA,NA,NA,
19Jul2023,5F,5,F,cardboard,strawberries,NA,NA,NA,8.7,5.3,NA,NA,NA,
19Jul2023,5G,5,G,bare,strawberries,NA,NA,NA,9,5.4,NA,NA,NA,
19Jul2023,5H,5,H,straw,strawberries,NA,NA,NA,12.4,7.7,NA,NA,NA,
19Jul2023,5I,5,I,bare,strawberries,NA,NA,NA,13.8,6.1,NA,NA,NA,
02Oct2023,1A,1,A,straw,strawberries,,324,498,2,2.4,3.28,0.3,,
02Oct2023,1B,1,B,bare,collards,,347,516,2.2,4.1,3.23,0.29,,
02Oct2023,1C,1,C,cardboard,beans,,349,503,7.4,0.5,3.3,0.3,,
02Oct2023,1D,1,D,cardboard,strawberries,,330,488,7.6,0.3,3.56,0.32,,
02Oct2023,1E,1,E,cardboard,collards,,326,489,8.3,0.3,3.57,0.32,,
02Oct2023,1F,1,F,straw,beans,,328,503,8.7,0.4,3.55,0.32,,
02Oct2023,1G,1,G,bare,strawberries,,323,424,7.7,0.3,3.5,0.31,,
02Oct2023,1H,1,H,straw,collards,,333,518,8.5,0.3,3.49,0.31,,
02Oct2023,1I,1,I,bare,beans,,313,446,8.3,0.4,3.53,0.31,,
02Oct2023,2A,2,A,cardboard,collards,,320,491,2.6,2.3,3.25,0.29,,
02Oct2023,2B,2,B,straw,beans,,313,451,5.1,5.1,3.32,0.3,,
02Oct2023,2C,2,C,cardboard,strawberries,,335,456,6.6,0.3,3.36,0.31,,
02Oct2023,2D,2,D,bare,collards,,326,502,8.2,1,3.65,0.29,,
02Oct2023,2E,2,E,bare,beans,,330,450,8.1,0.4,3.6,0.32,,
02Oct2023,2F,2,F,bare,strawberries,,329,548,8.5,0.7,3.53,0.32,,
02Oct2023,2G,2,G,straw,collards,,322,563,8.6,1.1,3.68,0.32,,
02Oct2023,2H,2,H,cardboard,beans,,326,442,7.3,0.9,3.6,0.32,,
02Oct2023,2I,2,I,straw,strawberries,,317,418,7.2,0.3,3.66,0.32,,
02Oct2023,3A,3,A,bare,beans,,316,441,7,0.3,3.43,0.3,,
02Oct2023,3B,3,B,cardboard,collards,,319,496,6.8,1.2,3.49,0.32,,
02Oct2023,3C,3,C,straw,strawberries,,319,503,6.1,3.8,3.53,0.32,,
02Oct2023,3D,3,D,straw,beans,,320,476,7.6,3,3.69,0.33,,
02Oct2023,3E,3,E,bare,collards,,324,459,7.7,12.2,3.57,0.32,,
02Oct2023,3F,3,F,bare,strawberries,,320,532,7.3,6.6,3.67,0.32,,
02Oct2023,3G,3,G,cardboard,beans,,319,521,7.7,3.3,3.85,0.34,,
02Oct2023,3H,3,H,straw,collards,,322,570,10.1,3.2,3.81,0.34,,
02Oct2023,3I,3,I,cardboard,strawberries,,324,572,8.7,0.7,3.82,0.33,,
02Oct2023,4A,4,A,straw,collards,,324,521,7.9,1.1,3.55,0.32,,
02Oct2023,4B,4,B,cardboard,beans,,309,528,6.9,0.8,3.67,0.33,,
02Oct2023,4C,4,C,bare,strawberries,,315,469,10.4,1.6,3.52,0.32,,
02Oct2023,4D,4,D,bare,collards,,320,547,9.5,0.9,3.78,0.34,,
02Oct2023,4E,4,E,bare,beans,,316,515,10.1,1.6,3.78,0.34,,
02Oct2023,4F,4,F,straw,strawberries,,324,562,9.4,1.9,3.71,0.33,,
02Oct2023,4G,4,G,cardboard,collards,,321,561,8,4.1,4.03,0.35,,
02Oct2023,4H,4,H,straw,beans,,316,516,11,2.3,3.89,0.34,,
02Oct2023,4I,4,I,cardboard,strawberries,,320,467,5.9,6.3,3.9,0.35,,
02Oct2023,5A,5,A,cardboard,strawberries,,336,510,7.2,1.9,3.61,0.32,,
02Oct2023,5B,5,B,cardboard,strawberries,,324,518,6.1,2.9,3.51,0.31,,
02Oct2023,5C,5,C,straw,strawberries,,329,483,7.5,2.6,3.58,0.31,,
02Oct2023,5D,5,D,straw,strawberries,,330,458,6.4,1.4,6.62,0.33,,
02Oct2023,5E,5,E,bare,strawberries,,325,451,9.4,1.5,3.51,0.32,,
02Oct2023,5F,5,F,cardboard,strawberries,,311,446,8.7,3.1,3.65,0.32,,
02Oct2023,5G,5,G,bare,strawberries,,327,419,7.3,1.3,3.76,0.34,,
02Oct2023,5H,5,H,straw,strawberries,,323,472,8.7,4.1,3.75,0.34,,
02Oct2023,5I,5,I,bare,strawberries,,325,421,7.7,2.3,3.77,0.35,,