date_collected,block,plot,treatment,crop,collected_by,start time,end time,total time
07Jul2023,1,H,SM,FC,TL,14:24,14:43,0:19
07Jul2023,1,G,BM,AS,JN,16:45,16:52,0:07
07Jul2023,1,F,SM,DB,TL,13:42,14:17,0:35
07Jul2023,1,I,BM,DB,JN,16:55,17:06,0:11
07Jul2023,1,E,CM,FC,TL,13:32,13:40,0:08
07Jul2023,1,D,CM,AS,TL,13:22,13:31,0:09
07Jul2023,1,C,CM,DB,JN,10:54,11:05,0:11
07Jul2023,1,A,SM,AS,JN,10:22,10:53,0:31
07Jul2023,2,I,SM,AS,JN,19:55,20:10,0:15
07Jul2023,1,B,BM,FC,JN,17:08,17:17,0:09
07Jul2023,2,G,SM,FC,JN,20:11,20:20,0:09
07Jul2023,2,B,SM,DB,NP,14:18,14:52,0:34
07Jul2023,2,F,BM,AS,JN,17:19,17:34,0:15
07Jul2023,2,C,CM,AS,NP,14:52,15:06,0:14
07Jul2023,2,A,CM,FC,NP,14:00,14:18,0:18
07Jul2023,3,I,CM,AS,NP,15:10,15:21,0:11
07Jul2023,3,G,CM,DB,JN,19:30,19:42,0:12
07Jul2023,4,I,CM,AS,JN,16:30,16:39,0:09
07Jul2023,4,H,SM,DB,JN,14:35,14:59,0:24
07Jul2023,4,G,CM,FC,JN,14:23,14:29,0:06
07Jul2023,4,B,CM,DB,JN,13:30,13:38,0:08
07Jul2023,4,C,BM,AS,JN,15:55,16:08,0:13
07Jul2023,4,D,BM,FC,JN,15:10,15:21,0:11
07Jul2023,4,F,SM,AS,JN,13:40,14:20,0:40
07Jul2023,4,E,BM,DB,JN,16:14,16:28,0:14
07Jul2023,4,A,SM,FC,JN,12:59,13:26,0:27
07Jul2023,3,B,CM,FC,TL,14:49,15:00,0:11
07Jul2023,2,H,CM,DB,JN,19:43,19:54,0:11
10Jul2023,2,D,BM,FC,TL,13:47,14:22,0:35
10Jul2023,3,H,SM,FC,MS,13:46,14:09,0:23
10Jul2023,3,F,BM,AS,CC,13:49,14:09,0:20
10Jul2023,3,E,BM,FC,CC,14:10,14:27,0:17
10Jul2023,3,D,SM,DB,TL,14:24,15:04,0:40
10Jul2023,3,C,SM,AS,TL,15:13,16:15,1:02
10Jul2023,3,A,BM,DB,CC,14:34,15:06,0:32
10Jul2023,5,I,BM,AS,CC,15:07,15:21,0:14
10Jul2023,5,G,BM,AS,CC,15:26,15:41,0:15
10Jul2023,5,F,CM,AS,MS,15:08,15:24,0:16
10Jul2023,5,D,SM,AS,MS,14:14,15:04,0:50
10Jul2023,5,B,CM,AS,MS,15:28,15:39,0:11
11Jul2023,5,H,SM,AS,TL,9:10,10:39,1:29
11Jul2023,5,E,BM,AS,CC,8:33,9:06,0:33
11Jul2023,5,A,CM,AS,NP,8:11,9:00,0:49
11Jul2023,5,C,SM,AS,MS,8:40,9:50,1:10
13Jul2023,2,E,BM,DB,CC,9:37,10:22,0:45
20Jul2023,4,A,SM,FC,JN,12:30,12:50,0:20
20Jul2023,4,F,SM,AS,JN,16:17,16:39,0:22
20Jul2023,4,H,SM,DB,JN,16:56,17:12,0:16
20Jul2023,1,B,BM,FC,JN,12:51,13:00,0:09
20Jul2023,1,C,CM,DB,JN,13:02,13:11,0:09
20Jul2023,1,D,CM,AS,JN,13:13,13:19,0:06
20Jul2023,1,E,CM,FC,CC,9:03,9:15,0:12
20Jul2023,3,C,SM,AS,JN,17:16,17:28,0:12
20Jul2023,3,D,SM,DB,JN,17:30,17:36,0:06
20Jul2023,1,G,BM,AS,CC,9:19,9:26,0:07
20Jul2023,3,H,SM,FC,JN,17:38,17:49,0:11
20Jul2023,1,I,BM,DB,CC,9:30,9:43,0:13
20Jul2023,2,B,SM,DB,NP,11:32,11:49,0:17
20Jul2023,2,A,CM,FC,CC,9:45,9:51,0:06
20Jul2023,2,G,SM,FC,JN,12:10,12:25,0:15
20Jul2023,2,C,CM,AS,CC,9:52,9:59,0:07
20Jul2023,2,I,SM,AS,JN,12:29,12:45,0:16
20Jul2023,2,D,BM,FC,CC,10:00,10:03,0:03
20Jul2023,1,A,SM,AS,JN,13:20,13:30,0:10
20Jul2023,2,E,BM,DB,CC,10:21,10:30,0:09
20Jul2023,1,F,SM,DB,NP,10:37,10:54,0:17
20Jul2023,1,H,SM,FC,NP,10:57,11:24,0:27
20Jul2023,2,F,BM,AS,CC,10:33,10:39,0:06
20Jul2023,2,H,CM,DB,CC,10:40,10:46,0:06
20Jul2023,3,A,BM,DB,CC,10:51,10:58,0:07
20Jul2023,3,B,CM,FC,CC,11:01,11:08,0:07
20Jul2023,3,E,BM,FC,CC,11:09,11:13,0:04
20Jul2023,3,F,BM,AS,CC,11:14,11:19,0:05
20Jul2023,3,G,CM,DB,CC,11:21,11:28,0:07
20Jul2023,3,I,CM,AS,CC,11:30,11:35,0:05
20Jul2023,4,B,CM,DB,CC,11:38,11:44,0:06
20Jul2023,4,C,BM,AS,CC,11:45,11:56,0:11
20Jul2023,5,C,SM,AS,CC,10:06,10:32,0:26
20Jul2023,4,D,BM,FC,CC,11:58,12:02,0:04
20Jul2023,4,E,BM,DB,CC,12:04,12:12,0:08
20Jul2023,4,G,CM,FC,CC,12:14,12:18,0:04
20Jul2023,4,I,CM,AS,CC,12:19,12:28,0:09
20Jul2023,5,A,CM,AS,CC,9:50,9:55,0:05
20Jul2023,5,B,CM,AS,CC,9:56,10:04,0:08
20Jul2023,5,E,BM,AS,CC,11:00,11:07,0:07
20Jul2023,5,F,CM,AS,CC,11:08,11:17,0:09
20Jul2023,5,G,BM,AS,CC,11:31,11:37,0:06
20Jul2023,5,I,BM,AS,CC,11:38,11:41,0:03
20Jul2023,5,D,SM,AS,CC,10:34,10:58,0:24
20Jul2023,5,H,SM,AS,CC,11:20,11:30,0:10
02Aug2023,1,B,BM,FC,CC,10:11,10:14,0:03
02Aug2023,1,C,CM,DB,CC,10:16,10:20,0:04
02Aug2023,1,D,CM,AS,CC,10:29,10:33,0:04
02Aug2023,1,E,CM,FC,CC,10:34,10:38,0:04
02Aug2023,1,A,SM,AS,NP,10:09,10:26,0:17
02Aug2023,1,G,BM,AS,CC,10:40,10:45,0:05
02Aug2023,1,F,SM,DB,NP,10:27,10:34,0:07
02Aug2023,1,I,BM,DB,CC,10:45,10:55,0:10
02Aug2023,1,H,SM,FC,NP,10:34,10:39,0:05
02Aug2023,2,A,CM,FC,CC,10:57,11:02,0:05
02Aug2023,2,B,SM,DB,NP,10:41,10:54,0:13
02Aug2023,2,C,CM,AS,CC,11:03,11:08,0:05
02Aug2023,2,D,BM,FC,CC,11:10,11:12,0:02
02Aug2023,2,G,SM,FC,NP,10:56,11:04,0:08
02Aug2023,2,I,SM,AS,NP,11:04,11:15,0:11
02Aug2023,2,E,BM,DB,CC,11:20,11:28,0:08
02Aug2023,2,H,CM,DB,NP,11:17,11:24,0:07
02Aug2023,2,F,BM,AS,CC,11:13,11:18,0:05
09Aug2023,3,A,BM,DB,CC,9:58,10:05,0:07
09Aug2023,3,B,CM,FC,CC,10:06,10:14,0:08
04Aug2023,3,C,SM,AS,NP,11:39,12:07,0:28
09Aug2023,3,E,BM,FC,CC,10:15,10:19,0:04
04Aug2023,3,D,SM,DB,NP,12:08,12:19,0:11
04Aug2023,3,H,SM,FC,NP,12:20,12:32,0:12
09Aug2023,3,F,BM,AS,CC,10:20,10:25,0:05
09Aug2023,3,G,CM,DB,CC,10:36,10:44,0:08
09Aug2023,3,I,CM,AS,CC,10:45,10:48,0:03
09Aug2023,4,B,CM,DB,CC,11:03,11:08,0:05
09Aug2023,4,C,BM,AS,CC,11:09,11:12,0:03
10Aug2023,4,A,SM,FC,NP,13:57,14:22,0:25
10Aug2023,4,F,SM,AS,NP,14:24,14:39,0:15
10Aug2023,4,H,SM,DB,NP,14:39,15:00,0:21
09Aug2023,4,E,BM,DB,CC,11:19,11:23,0:04
09Aug2023,4,D,BM,FC,CC,11:13,11:18,0:05
09Aug2023,4,G,CM,FC,CC,11:24,11:27,0:03
09Aug2023,4,I,CM,AS,CC,11:28,11:30,0:02
09Aug2023,5,A,CM,AS,CC,12:53,12:54,0:01
09Aug2023,5,B,CM,AS,CC,12:55,12:57,0:02
09Aug2023,5,E,BM,AS,CC,13:02,13:09,0:07
09Aug2023,5,F,CM,AS,CC,12:58,13:02,0:04
09Aug2023,5,G,BM,AS,CC,13:09,13:14,0:05
09Aug2023,5,I,BM,AS,CC,13:15,13:21,0:06
10Aug2023,5,C,SM,AS,NP,15:01,15:23,0:22
10Aug2023,5,D,SM,AS,NP,15:28,15:46,0:18
10Aug2023,5,H,SM,AS,,15:52,16:02,0:10