sample_date,block,plot,treatment,crop,pH,bray_p_ppm,k_ppm,NO3_ppm,NH4_ppm,total_c_wt_pct,total_n_wt_pct
05/23/2023,1,A,SM,AS,6.7,318,,72.3,24,3.19,0.31
05/23/2023,1,B,BM,FC,6.94,320,,32.4,1.8,3.47,0.32
05/23/2023,1,C,CM,DB,7.1,319,,35.5,2.5,3.51,0.32
05/23/2023,1,D,CM,AS,6.84,315,,41.9,1.8,3.51,0.32
05/23/2023,1,E,CM,FC,6.99,312,,32.2,0.4,3.72,0.34
05/23/2023,1,F,SM,DB,7.05,287,,36.9,1.8,3.67,0.33
05/23/2023,1,G,BM,AS,6.91,302,,39.6,6.3,3.69,0.33
05/23/2023,1,H,SM,FC,6.91,295,,41.3,3.7,3.67,0.33
05/23/2023,1,I,BM,DB,6.93,314,,28,3.3,3.58,0.33
05/23/2023,2,A,CM,FC,7.04,304,,29.4,5.1,3.39,0.32
05/23/2023,2,B,SM,DB,6.96,310,,15.5,1.4,3.3,0.3
05/23/2023,2,C,CM,AS,7.05,297,,26.6,5,3.48,0.32
05/23/2023,2,D,BM,FC,7.03,312,,42,2,3.67,0.33
05/23/2023,2,E,BM,DB,6.97,288,,35.7,2.6,3.61,0.34
05/23/2023,2,F,BM,AS,6.98,304,,30.9,3.1,3.64,0.33
05/23/2023,2,G,SM,FC,6.94,302,,40.8,3.5,3.71,0.33
05/23/2023,2,H,CM,DB,7.03,300,,36.8,4.7,3.73,0.34
05/23/2023,2,I,SM,AS,6.98,303,,32.9,1.7,3.67,0.34
05/23/2023,3,A,BM,DB,7.04,292,,28.3,1,3.55,0.33
05/23/2023,3,B,CM,FC,7,313,,27.3,3.4,3.57,0.33
05/23/2023,3,C,SM,AS,7,305,,28,1,3.69,0.33
05/23/2023,3,D,SM,DB,6.89,307,,33.5,3.3,3.8,0.35
05/23/2023,3,E,BM,FC,6.87,308,,25.2,3,3.81,0.35
05/23/2023,3,F,BM,AS,6.92,301,,34.5,5.1,3.87,0.35
05/23/2023,3,G,CM,DB,7.01,313,,44.2,1.6,3.93,0.36
05/23/2023,3,H,SM,FC,6.9,304,,41.1,1.9,3.91,0.35
05/23/2023,3,I,CM,AS,6.99,306,,46.9,4.9,4.03,0.37
05/23/2023,4,A,SM,FC,6.91,299,,36.3,5.5,3.65,0.34
05/23/2023,4,B,CM,DB,6.87,298,,34.9,0.3,3.63,0.35
05/23/2023,4,C,BM,AS,6.9,300,,43.3,1.6,3.63,0.33
05/23/2023,4,D,BM,FC,6.99,305,,33.6,1.1,4.01,0.36
05/23/2023,4,E,BM,DB,6.91,308,,50.4,1.5,3.76,0.34
05/23/2023,4,F,SM,AS,6.89,310,,45.7,0.3,3.89,0.36
05/23/2023,4,G,CM,FC,6.9,310,,54.1,0.3,4.05,0.36
05/23/2023,4,H,SM,DB,6.8,315,,57,6.3,4.04,0.37
05/23/2023,4,I,CM,AS,6.84,306,,50.9,2.4,3.85,0.36
05/23/2023,5,A,CM,AS,6.76,311,,51,0.6,3.63,0.33
05/23/2023,5,B,CM,AS,7.02,317,,31.2,1.3,3.66,0.34
05/23/2023,5,C,SM,AS,7.03,318,,31.6,2.9,3.62,0.32
05/23/2023,5,D,SM,AS,7,294,,25.3,1.7,3.65,0.34
05/23/2023,5,E,BM,AS,7,295,,29.5,2,3.68,0.33
05/23/2023,5,F,CM,AS,7.01,305,,34.9,1.5,3.7,0.35
05/23/2023,5,G,BM,AS,6.91,306,,27.7,1.9,3.94,0.35
05/23/2023,5,H,SM,AS,6.95,306,,26.8,1.6,4.06,0.36
05/23/2023,5,I,BM,AS,7.02,308,,27.7,0.6,3.95,0.36
07/05/2023,1,A,SM,AS,NA,NA,NA,12.3,3.2,NA,NA
07/05/2023,1,B,BM,FC,NA,NA,NA,15.8,4.8,NA,NA
07/05/2023,1,C,CM,DB,NA,NA,NA,6.9,3,NA,NA
07/05/2023,1,D,CM,AS,NA,NA,NA,16.5,4.4,NA,NA
07/05/2023,1,E,CM,FC,NA,NA,NA,8.3,4,NA,NA
07/05/2023,1,F,SM,DB,NA,NA,NA,9,3.2,NA,NA
07/05/2023,1,G,BM,AS,NA,NA,NA,35.5,2.3,NA,NA
07/05/2023,1,H,SM,FC,NA,NA,NA,14.9,2.7,NA,NA
07/05/2023,1,I,BM,DB,NA,NA,NA,11.8,5.3,NA,NA
07/05/2023,2,A,CM,FC,NA,NA,NA,7.4,5.4,NA,NA
07/05/2023,2,B,SM,DB,NA,NA,NA,13.4,4.6,NA,NA
07/05/2023,2,C,CM,AS,NA,NA,NA,16.6,2.9,NA,NA
07/05/2023,2,D,BM,FC,NA,NA,NA,8.2,2.4,NA,NA
07/05/2023,2,E,BM,DB,NA,NA,NA,7.6,5.7,NA,NA
07/05/2023,2,F,BM,AS,NA,NA,NA,10.7,5,NA,NA
07/05/2023,2,G,SM,FC,NA,NA,NA,15,4.3,NA,NA
07/05/2023,2,H,CM,DB,NA,NA,NA,7.4,4.2,NA,NA
07/05/2023,2,I,SM,AS,NA,NA,NA,11.3,5.2,NA,NA
07/05/2023,3,A,BM,DB,NA,NA,NA,13.7,3.4,NA,NA
07/05/2023,3,B,CM,FC,NA,NA,NA,5.4,3.6,NA,NA
07/05/2023,3,C,SM,AS,NA,NA,NA,8.3,6,NA,NA
07/05/2023,3,D,SM,DB,NA,NA,NA,14.5,6.4,NA,NA
07/05/2023,3,E,BM,FC,NA,NA,NA,11.4,2.4,NA,NA
07/05/2023,3,F,BM,AS,NA,NA,NA,10.7,7.3,NA,NA
07/05/2023,3,G,CM,DB,NA,NA,NA,7.6,6.9,NA,NA
07/05/2023,3,H,SM,FC,NA,NA,NA,12,6.1,NA,NA
07/05/2023,3,I,CM,AS,NA,NA,NA,9.5,4.3,NA,NA
07/05/2023,4,A,SM,FC,NA,NA,NA,12.7,4.4,NA,NA
07/05/2023,4,B,CM,DB,NA,NA,NA,11,4.8,NA,NA
07/05/2023,4,C,BM,AS,NA,NA,NA,17,7.4,NA,NA
07/05/2023,4,D,BM,FC,NA,NA,NA,10.4,5.9,NA,NA
07/05/2023,4,E,BM,DB,NA,NA,NA,8.7,4.1,NA,NA
07/05/2023,4,F,SM,AS,NA,NA,NA,14.3,4.6,NA,NA
07/05/2023,4,G,CM,FC,NA,NA,NA,8.2,4.7,NA,NA
07/05/2023,4,H,SM,DB,NA,NA,NA,11,4.9,NA,NA
07/05/2023,4,I,CM,AS,NA,NA,NA,15.2,5,NA,NA
07/05/2023,5,A,CM,AS,NA,NA,NA,11.5,6.4,NA,NA
07/05/2023,5,B,CM,AS,NA,NA,NA,7.8,4.2,NA,NA
07/05/2023,5,C,SM,AS,NA,NA,NA,7.1,5,NA,NA
07/05/2023,5,D,SM,AS,NA,NA,NA,9.4,7.7,NA,NA
07/05/2023,5,E,BM,AS,NA,NA,NA,15.3,6.9,NA,NA
07/05/2023,5,F,CM,AS,NA,NA,NA,12.3,4.5,NA,NA
07/05/2023,5,G,BM,AS,NA,NA,NA,12,8.4,NA,NA
07/05/2023,5,H,SM,AS,NA,NA,NA,8.9,6.1,NA,NA
07/05/2023,5,I,BM,AS,NA,NA,NA,11,4.9,NA,NA
07/19/2023,1,A,SM,AS,NA,NA,NA,8.2,10.4,NA,NA
07/19/2023,1,B,BM,FC,NA,NA,NA,10.8,6.3,NA,NA
07/19/2023,1,C,CM,DB,NA,NA,NA,5.6,4.5,NA,NA
07/19/2023,1,D,CM,AS,NA,NA,NA,7.4,5.5,NA,NA
07/19/2023,1,E,CM,FC,NA,NA,NA,7.9,8.7,NA,NA
07/19/2023,1,F,SM,DB,NA,NA,NA,5.5,5.7,NA,NA
07/19/2023,1,G,BM,AS,NA,NA,NA,11.9,5.1,NA,NA
07/19/2023,1,H,SM,FC,NA,NA,NA,7.8,8.9,NA,NA
07/19/2023,1,I,BM,DB,NA,NA,NA,6.1,7.2,NA,NA
07/19/2023,2,A,CM,FC,NA,NA,NA,7.2,5.7,NA,NA
07/19/2023,2,B,SM,DB,NA,NA,NA,6.2,7.5,NA,NA
07/19/2023,2,C,CM,AS,NA,NA,NA,8.3,12.8,NA,NA
07/19/2023,2,D,BM,FC,NA,NA,NA,6.7,7.2,NA,NA
07/19/2023,2,E,BM,DB,NA,NA,NA,7.1,4.8,NA,NA
07/19/2023,2,F,BM,AS,NA,NA,NA,11.6,7.1,NA,NA
07/19/2023,2,G,SM,FC,NA,NA,NA,7.2,5.1,NA,NA
07/19/2023,2,H,CM,DB,NA,NA,NA,4.8,6,NA,NA
07/19/2023,2,I,SM,AS,NA,NA,NA,8.6,5.4,NA,NA
07/19/2023,3,A,BM,DB,NA,NA,NA,8.7,6,NA,NA
07/19/2023,3,B,CM,FC,NA,NA,NA,7.3,7,NA,NA
07/19/2023,3,C,SM,AS,NA,NA,NA,7.4,4.3,NA,NA
07/19/2023,3,D,SM,DB,NA,NA,NA,6.2,5.8,NA,NA
07/19/2023,3,E,BM,FC,NA,NA,NA,8.4,4,NA,NA
07/19/2023,3,F,BM,AS,NA,NA,NA,10.5,6.7,NA,NA
07/19/2023,3,G,CM,DB,NA,NA,NA,6.7,7,NA,NA
07/19/2023,3,H,SM,FC,NA,NA,NA,8.5,6,NA,NA
07/19/2023,3,I,CM,AS,NA,NA,NA,7.5,5.2,NA,NA
07/19/2023,4,A,SM,FC,NA,NA,NA,9.9,6.5,NA,NA
07/19/2023,4,B,CM,DB,NA,NA,NA,5.6,4.9,NA,NA
07/19/2023,4,C,BM,AS,NA,NA,NA,20.4,6,NA,NA
07/19/2023,4,D,BM,FC,NA,NA,NA,11.5,4.6,NA,NA
07/19/2023,4,E,BM,DB,NA,NA,NA,9.8,5.5,NA,NA
07/19/2023,4,F,SM,AS,NA,NA,NA,13.8,7.9,NA,NA
07/19/2023,4,G,CM,FC,NA,NA,NA,8.6,6.3,NA,NA
07/19/2023,4,H,SM,DB,NA,NA,NA,7.1,6.7,NA,NA
07/19/2023,4,I,CM,AS,NA,NA,NA,15.9,8.1,NA,NA
07/19/2023,5,A,CM,AS,NA,NA,NA,7.7,7.1,NA,NA
07/19/2023,5,B,CM,AS,NA,NA,NA,6.5,6.9,NA,NA
07/19/2023,5,C,SM,AS,NA,NA,NA,10.7,5.2,NA,NA
07/19/2023,5,D,SM,AS,NA,NA,NA,10.3,5,NA,NA
07/19/2023,5,E,BM,AS,NA,NA,NA,11.7,6,NA,NA
07/19/2023,5,F,CM,AS,NA,NA,NA,8.7,5.3,NA,NA
07/19/2023,5,G,BM,AS,NA,NA,NA,9,5.4,NA,NA
07/19/2023,5,H,SM,AS,NA,NA,NA,12.4,7.7,NA,NA
07/19/2023,5,I,BM,AS,NA,NA,NA,13.8,6.1,NA,NA
10/02/2023,1,A,SM,AS,,324,498,2,2.4,3.28,0.3
10/02/2023,1,B,BM,FC,,347,516,2.2,4.1,3.23,0.29
10/02/2023,1,C,CM,DB,,349,503,7.4,0.5,3.3,0.3
10/02/2023,1,D,CM,AS,,330,488,7.6,0.3,3.56,0.32
10/02/2023,1,E,CM,FC,,326,489,8.3,0.3,3.57,0.32
10/02/2023,1,F,SM,DB,,328,503,8.7,0.4,3.55,0.32
10/02/2023,1,G,BM,AS,,323,424,7.7,0.3,3.5,0.31
10/02/2023,1,H,SM,FC,,333,518,8.5,0.3,3.49,0.31
10/02/2023,1,I,BM,DB,,313,446,8.3,0.4,3.53,0.31
10/02/2023,2,A,CM,FC,,320,491,2.6,2.3,3.25,0.29
10/02/2023,2,B,SM,DB,,313,451,5.1,5.1,3.32,0.3
10/02/2023,2,C,CM,AS,,335,456,6.6,0.3,3.36,0.31
10/02/2023,2,D,BM,FC,,326,502,8.2,1,3.65,0.29
10/02/2023,2,E,BM,DB,,330,450,8.1,0.4,3.6,0.32
10/02/2023,2,F,BM,AS,,329,548,8.5,0.7,3.53,0.32
10/02/2023,2,G,SM,FC,,322,563,8.6,1.1,3.68,0.32
10/02/2023,2,H,CM,DB,,326,442,7.3,0.9,3.6,0.32
10/02/2023,2,I,SM,AS,,317,418,7.2,0.3,3.66,0.32
10/02/2023,3,A,BM,DB,,316,441,7,0.3,3.43,0.3
10/02/2023,3,B,CM,FC,,319,496,6.8,1.2,3.49,0.32
10/02/2023,3,C,SM,AS,,319,503,6.1,3.8,3.53,0.32
10/02/2023,3,D,SM,DB,,320,476,7.6,3,3.69,0.33
10/02/2023,3,E,BM,FC,,324,459,7.7,12.2,3.57,0.32
10/02/2023,3,F,BM,AS,,320,532,7.3,6.6,3.67,0.32
10/02/2023,3,G,CM,DB,,319,521,7.7,3.3,3.85,0.34
10/02/2023,3,H,SM,FC,,322,570,10.1,3.2,3.81,0.34
10/02/2023,3,I,CM,AS,,324,572,8.7,0.7,3.82,0.33
10/02/2023,4,A,SM,FC,,324,521,7.9,1.1,3.55,0.32
10/02/2023,4,B,CM,DB,,309,528,6.9,0.8,3.67,0.33
10/02/2023,4,C,BM,AS,,315,469,10.4,1.6,3.52,0.32
10/02/2023,4,D,BM,FC,,320,547,9.5,0.9,3.78,0.34
10/02/2023,4,E,BM,DB,,316,515,10.1,1.6,3.78,0.34
10/02/2023,4,F,SM,AS,,324,562,9.4,1.9,3.71,0.33
10/02/2023,4,G,CM,FC,,321,561,8,4.1,4.03,0.35
10/02/2023,4,H,SM,DB,,316,516,11,2.3,3.89,0.34
10/02/2023,4,I,CM,AS,,320,467,5.9,6.3,3.9,0.35
10/02/2023,5,A,CM,AS,,336,510,7.2,1.9,3.61,0.32
10/02/2023,5,B,CM,AS,,324,518,6.1,2.9,3.51,0.31
10/02/2023,5,C,SM,AS,,329,483,7.5,2.6,3.58,0.31
10/02/2023,5,D,SM,AS,,330,458,6.4,1.4,6.62,0.33
10/02/2023,5,E,BM,AS,,325,451,9.4,1.5,3.51,0.32
10/02/2023,5,F,CM,AS,,311,446,8.7,3.1,3.65,0.32
10/02/2023,5,G,BM,AS,,327,419,7.3,1.3,3.76,0.34
10/02/2023,5,H,SM,AS,,323,472,8.7,4.1,3.75,0.34
10/02/2023,5,I,BM,AS,,325,421,7.7,2.3,3.77,0.35
05/23/2024,1,A,SM,DB,,321,,15.3,2.3,3.27,0.29
05/23/2024,1,B,BM,AS,,326,,11.7,2.6,3.21,0.29
05/23/2024,1,C,CM,FC,,322,,18.2,2.9,3.21,0.29
05/23/2024,1,D,CM,DB,,320,,15.6,1.6,3.36,0.3
05/23/2024,1,E,CM,AS,,320,,18.3,5.1,3.48,0.31
05/23/2024,1,F,SM,FC,,320,,15.3,2.2,3.42,0.31
05/23/2024,1,G,BM,DB,,326,,15.5,2.5,3.46,0.31
05/23/2024,1,H,SM,AS,,312,,12.5,2.6,3.43,0.31
05/23/2024,1,I,BM,FC,,317,,14.3,2.5,3.44,0.32
05/23/2024,2,A,CM,AS,,321,,17.8,2.6,3.2,0.29
05/23/2024,2,B,SM,FC,,314,,16.7,3,3.28,0.3
05/23/2024,2,C,CM,DB,,313,,16,2.6,3.36,0.3
05/23/2024,2,D,BM,AS,,315,,17.6,2.2,3.45,0.31
05/23/2024,2,E,BM,FC,,316,,20.4,3.4,3.59,0.32
05/23/2024,2,F,BM,DB,,322,,22.1,2.2,3.57,0.32
05/23/2024,2,G,SM,AS,,317,,17.1,2.1,3.62,0.31
05/23/2024,2,H,CM,FC,,318,,19.8,2.3,3.53,0.32
05/23/2024,2,I,SM,DB,,314,,15.8,1.8,3.55,0.32
05/23/2024,3,A,BM,FC,,304,,17.9,1.6,3.29,0.3
05/23/2024,3,B,CM,AS,,316,,16.9,2.9,3.53,0.31
05/23/2024,3,C,SM,DB,,310,,13,2.2,3.48,0.31
05/23/2024,3,D,SM,FC,,312,,13.2,2.4,3.6,0.33
05/23/2024,3,E,BM,AS,,320,,11.7,1.2,3.54,0.32
05/23/2024,3,F,BM,DB,,316,,12,1.8,3.55,0.32
05/23/2024,3,G,CM,FC,,311,,13.4,2.2,3.69,0.33
05/23/2024,3,H,SM,AS,,309,,14.9,5.8,3.65,0.32
05/23/2024,3,I,CM,DB,,318,,14.8,3.3,3.68,0.34
05/23/2024,4,A,SM,AS,,316,,14.3,1.9,3.44,0.31
05/23/2024,4,B,CM,FC,,311,,17.9,1.7,3.43,0.31
05/23/2024,4,C,BM,DB,,317,,15.8,12.3,3.36,0.31
05/23/2024,4,D,BM,AS,,313,,13.7,3.7,3.73,0.34
05/23/2024,4,E,BM,FC,,313,,10.9,3.7,3.75,0.33
05/23/2024,4,F,SM,DB,,323,,16.7,7.8,3.52,0.32
05/23/2024,4,G,CM,AS,,316,,14.2,2.6,3.76,0.33
05/23/2024,4,H,SM,FC,,318,,14,3,3.75,0.34
05/23/2024,4,I,CM,DB,,318,,15,3,3.65,0.33
06/20/2024,1,A,SM,DB,NA,NA,NA,6.1,4,NA,NA
06/20/2024,1,B,BM,AS,NA,NA,NA,4.3,2.5,NA,NA
06/20/2024,1,C,CM,FC,NA,NA,NA,5.5,3.6,NA,NA
06/20/2024,1,D,CM,DB,NA,NA,NA,4.3,2.7,NA,NA
06/20/2024,1,E,CM,AS,NA,NA,NA,8.3,2.8,NA,NA
06/20/2024,1,F,SM,FC,NA,NA,NA,4,3.3,NA,NA
06/20/2024,1,G,BM,DB,NA,NA,NA,3.9,2.4,NA,NA
06/20/2024,1,H,SM,AS,NA,NA,NA,5.1,2.8,NA,NA
06/20/2024,1,I,BM,FC,NA,NA,NA,5.5,2.1,NA,NA
06/20/2024,2,A,CM,AS,NA,NA,NA,6.1,3.2,NA,NA
06/20/2024,2,B,SM,FC,NA,NA,NA,4.9,3.7,NA,NA
06/20/2024,2,C,CM,DB,NA,NA,NA,13.5,4.4,NA,NA
06/20/2024,2,D,BM,AS,NA,NA,NA,5,2.4,NA,NA
06/20/2024,2,E,BM,FC,NA,NA,NA,6.3,3,NA,NA
06/20/2024,2,F,BM,DB,NA,NA,NA,6.7,2.1,NA,NA
06/20/2024,2,G,SM,AS,NA,NA,NA,6.9,3.4,NA,NA
06/20/2024,2,H,CM,FC,NA,NA,NA,18.1,3.9,NA,NA
06/20/2024,2,I,SM,DB,NA,NA,NA,7.5,3.3,NA,NA
06/20/2024,3,A,BM,FC,NA,NA,NA,4.2,3,NA,NA
06/20/2024,3,B,CM,AS,NA,NA,NA,5.8,2.6,NA,NA
06/20/2024,3,C,SM,DB,NA,NA,NA,11.1,5.4,NA,NA
06/20/2024,3,D,SM,FC,NA,NA,NA,6.7,3.7,NA,NA
06/20/2024,3,E,BM,AS,NA,NA,NA,3.1,3.2,NA,NA
06/20/2024,3,F,BM,DB,NA,NA,NA,6.1,3.4,NA,NA
06/20/2024,3,G,CM,FC,NA,NA,NA,5.1,4.3,NA,NA
06/20/2024,3,H,SM,AS,NA,NA,NA,5.2,3.6,NA,NA
06/20/2024,3,I,CM,DB,NA,NA,NA,2.8,4,NA,NA
06/20/2024,4,A,SM,AS,NA,NA,NA,6.2,3.8,NA,NA
06/20/2024,4,B,CM,FC,NA,NA,NA,4.2,4,NA,NA
06/20/2024,4,C,BM,DB,NA,NA,NA,4.3,3,NA,NA
06/20/2024,4,D,BM,AS,NA,NA,NA,3.7,2.3,NA,NA
06/20/2024,4,E,BM,FC,NA,NA,NA,5,2.4,NA,NA
06/20/2024,4,F,SM,DB,NA,NA,NA,3.6,3.7,NA,NA
06/20/2024,4,G,CM,AS,NA,NA,NA,2.6,3.7,NA,NA
06/20/2024,4,H,SM,FC,NA,NA,NA,3.7,3.7,NA,NA
06/20/2024,4,I,CM,DB,NA,NA,NA,2.2,5,NA,NA
07/10/2024,1,A,SM,DB,NA,NA,NA,3.9,2.1,NA,NA
07/10/2024,1,B,BM,AS,NA,NA,NA,3.6,2.4,NA,NA
07/10/2024,1,C,CM,FC,NA,NA,NA,2.7,4.3,NA,NA
07/10/2024,1,D,CM,DB,NA,NA,NA,5.3,2.3,NA,NA
07/10/2024,1,E,CM,AS,NA,NA,NA,4.2,3.7,NA,NA
07/10/2024,1,F,SM,FC,NA,NA,NA,3.9,7.2,NA,NA
07/10/2024,1,G,BM,DB,NA,NA,NA,4.2,3.2,NA,NA
07/10/2024,1,H,SM,AS,NA,NA,NA,5,3.2,NA,NA
07/10/2024,1,I,BM,FC,NA,NA,NA,3.7,1.7,NA,NA
07/10/2024,2,A,CM,AS,NA,NA,NA,5.2,2,NA,NA
07/10/2024,2,B,SM,FC,NA,NA,NA,4.1,3,NA,NA
07/10/2024,2,C,CM,DB,NA,NA,NA,5.1,3.4,NA,NA
07/10/2024,2,D,BM,AS,NA,NA,NA,7.9,2.3,NA,NA
07/10/2024,2,E,BM,FC,NA,NA,NA,3.3,2.7,NA,NA
07/10/2024,2,F,BM,DB,NA,NA,NA,5.3,1.7,NA,NA
07/10/2024,2,G,SM,AS,NA,NA,NA,4.3,4.9,NA,NA
07/10/2024,2,H,CM,FC,NA,NA,NA,3,6.1,NA,NA
07/10/2024,2,I,SM,DB,NA,NA,NA,5.3,4.2,NA,NA
07/10/2024,3,A,BM,FC,NA,NA,NA,5.3,1.5,NA,NA
07/10/2024,3,B,CM,AS,NA,NA,NA,3.4,2.8,NA,NA
07/10/2024,3,C,SM,DB,NA,NA,NA,5.6,2.8,NA,NA
07/10/2024,3,D,SM,FC,NA,NA,NA,3.6,1.6,NA,NA
07/10/2024,3,E,BM,AS,NA,NA,NA,4.6,1.8,NA,NA
07/10/2024,3,F,BM,DB,NA,NA,NA,4.8,2,NA,NA
07/10/2024,3,G,CM,FC,NA,NA,NA,4.6,1.9,NA,NA
07/10/2024,3,H,SM,AS,NA,NA,NA,6.5,2,NA,NA
07/10/2024,3,I,CM,DB,NA,NA,NA,4,2.6,NA,NA
07/10/2024,4,A,SM,AS,NA,NA,NA,5.4,1.5,NA,NA
07/10/2024,4,B,CM,FC,NA,NA,NA,3.7,2.6,NA,NA
07/10/2024,4,C,BM,DB,NA,NA,NA,4.2,3.1,NA,NA
07/10/2024,4,D,BM,AS,NA,NA,NA,3.7,1.3,NA,NA
07/10/2024,4,E,BM,FC,NA,NA,NA,4.9,1.1,NA,NA
07/10/2024,4,F,SM,DB,NA,NA,NA,4.8,1.4,NA,NA
07/10/2024,4,G,CM,AS,NA,NA,NA,4.4,2.9,NA,NA
07/10/2024,4,H,SM,FC,NA,NA,NA,3.8,2.3,NA,NA
07/10/2024,4,I,CM,DB,NA,NA,NA,5.5,1.6,NA,NA
10/17/2024,1,A,SM,DB,,340,488,7.5,5.8,3.57,0.28
10/17/2024,1,B,BM,AS,,359,444,5,2.5,3.49,0.28
10/17/2024,1,C,CM,FC,,344,471,3.5,1.7,3.72,0.29
10/17/2024,1,D,CM,DB,,353,454,7.2,15.2,3.93,0.31
10/17/2024,1,E,CM,AS,,347,444,5,2.4,3.96,0.3
10/17/2024,1,F,SM,FC,,341,521,4.2,3.4,4.04,0.31
10/17/2024,1,G,BM,DB,,342,466,4.7,2.3,3.84,0.31
10/17/2024,1,H,SM,AS,,350,509,4.7,2.6,3.96,0.31
10/17/2024,1,I,BM,FC,,353,540,4.8,2.8,3.91,0.31
10/17/2024,2,A,CM,AS,,339,462,4.1,3.6,3.51,0.28
10/17/2024,2,B,SM,FC,,325,476,4.5,6.1,3.5,0.28
10/17/2024,2,C,CM,DB,,347,532,6.4,9.3,3.77,0.3
10/17/2024,2,D,BM,AS,,354,464,4.5,2.7,4.06,0.31
10/17/2024,2,E,BM,FC,,352,501,3.8,2.4,3.94,0.31
10/17/2024,2,F,BM,DB,,353,547,3.8,2.7,3.97,0.31
10/17/2024,2,G,SM,AS,,342,428,3.8,2.2,4.08,0.32
10/17/2024,2,H,CM,FC,,350,469,4.2,3.2,3.9,0.3
10/17/2024,2,I,SM,DB,,338,426,4.4,3,3.96,0.32
10/17/2024,3,A,BM,FC,,347,534,3.4,3.6,3.65,0.29
10/17/2024,3,B,CM,AS,,338,472,4.9,5.1,4.02,0.31
10/17/2024,3,C,SM,DB,,340,501,5.3,3.6,3.72,0.3
10/17/2024,3,D,SM,FC,,352,531,4,5.8,4.08,0.31
10/17/2024,3,E,BM,AS,,351,484,3.7,2.3,4.13,0.33
10/17/2024,3,F,BM,DB,,350,533,3.6,2.4,4.02,0.31
10/17/2024,3,G,CM,FC,,351,587,4.4,4.8,4.22,0.33
10/17/2024,3,H,SM,AS,,342,476,2.9,3.5,4.25,0.32
10/17/2024,3,I,CM,DB,,351,542,6.4,4.2,4.47,0.35
10/17/2024,4,A,SM,AS,,344,493,4.6,2.6,3.73,0.28
10/17/2024,4,B,CM,FC,,338,565,4.6,3.7,3.82,0.32
10/17/2024,4,C,BM,DB,,338,438,3.1,2.5,3.8,0.31
10/17/2024,4,D,BM,AS,,349,497,3.7,2,3.99,0.3
10/17/2024,4,E,BM,FC,,352,562,5.2,3.1,3.97,0.32
10/17/2024,4,F,SM,DB,,350,555,4.4,2.7,4.16,0.33
10/17/2024,4,G,CM,AS,,352,493,3.6,2.4,4.25,0.33
10/17/2024,4,H,SM,FC,,353,551,4.2,4.6,4.27,0.36
10/17/2024,4,I,CM,DB,,346,566,5.5,3.2,4.29,0.34